Model,CV_MAE,MAE,RMSE,R2,Correlation,Train_Time_sec,Prediction_Time_sec,Model_Size_MB,Best_Params
SVR,4.395126359177043,5.8965320154492815,11.67369202117297,-0.10234055306361567,-0.09518761214749852,0.1134343147277832,0.002008676528930664,0.08540821075439453,"{""model__C"": 1, ""model__epsilon"": 0.1}"
Decision Tree,4.538847521480502,6.1426411290322545,11.301975279849396,-0.033256218812859784,,0.06221508979797363,0.0013134479522705078,0.004275321960449219,"{""model__max_depth"": 2}"
Random Forest,4.491795126422042,6.441575682096817,11.634497548021555,-0.09495075289775357,-0.20105851718014997,0.5959029197692871,0.0047876834869384766,0.08182716369628906,"{""model__max_depth"": 3}"
Gradient Boosting,4.464504534444025,6.570656184156273,11.856712439490702,-0.1371765511190597,-0.22853235172234931,0.5889325141906738,0.002610445022583008,0.06435012817382812,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 50}"
Ridge Regression,4.897774249978665,6.882145149964175,11.945225414878973,-0.15421847332897265,-0.3268935403119141,0.18170380592346191,0.0016512870788574219,0.004052162170410156,"{""model__alpha"": 10}"
Linear Regression,9.09518569061129,8.64737427933986,15.441719666633988,-0.9288153316984076,-0.4846173918424068,0.034931182861328125,0.002536296844482422,0.004693031311035156,{}
